name,description,sessions,session_duration,start_date,end_date,tags,is_featured,is_active,is_hidden,image_url,max_students
Introduction to Django,Function-based intangible structure,10,90,2023-01-03,2023-10-09,De-engineered actuating core,True,True,True,http://dummyimage.com/228x100.png/dddddd/000000,2
Introduction to Express.js,Integrated stable methodology,3,2,2022-08-10,2023-06-17,Reactive systematic circuit,True,False,False,http://dummyimage.com/187x100.png/ff4444/ffffff,99
Python Introduction,Public-key next generation functionalities,12,2,2022-10-27,2022-02-12,Universal solution-oriented system engine,True,False,True,http://dummyimage.com/174x100.png/ff4444/ffffff,39
Docker,Fully-configurable interactive leverage,5,1,2023-03-11,2023-10-04,Re-contextualized asymmetric neural-net,False,True,False,http://dummyimage.com/105x100.png/ff4444/ffffff,33
Angular Introduction,Decentralized bi-directional open architecture,10,2,2023-06-27,2023-01-10,Proactive mission-critical implementation,True,True,True,http://dummyimage.com/102x100.png/5fa2dd/ffffff,26
Node.js,Implemented 4th generation matrix,12,5,2023-07-04,2023-05-14,Configurable motivating moratorium,False,True,True,http://dummyimage.com/154x100.png/ff4444/ffffff,62
JavaScript Essentials,Programmable dedicated project,6,1,2023-07-16,2023-03-26,Customizable solution-oriented array,True,True,True,http://dummyimage.com/138x100.png/dddddd/000000,8
HTML / CSS ,Distributed client-server moderator,8,5,2022-06-10,2023-05-15,De-engineered leading edge benchmark,False,False,True,http://dummyimage.com/237x100.png/5fa2dd/ffffff,3
Learn Java for Beginners,Business-focused global core,2,10,2023-03-04,2023-01-28,Exclusive zero tolerance architecture,True,True,False,http://dummyimage.com/188x100.png/ff4444/ffffff,78
React.js,Function-based exuding secured line,3,15,2023-08-22,2023-02-08,Right-sized zero tolerance open system,False,True,True,http://dummyimage.com/150x100.png/cc0000/ffffff,66
